GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
22164564.3333333,17683572.0,16253626.2,16738609.0,24579385.0,28139270.6666667,20272067.0
30066922.8333333,29509795.5,26310696.8333333,19464105.5,32698179.8333333,25075120.3333333,21160672.6666667
221361.0,90371046.5,22214440.0,,129931435.0,2890095.0,128712432.0
56707279.5,60111608.5,48186646.0,61454040.8333333,77514281.6666667,58879220.8333333,52124197.1666667
98997789.8333333,142474948.0,99144444.6666667,123636587.0,127676304.666667,128094423.0,143392876.5
3966552.0,5255302.0,27786616.0,11069455.0,10605195.3333333,9039573.0,8957776.5
46234763.0,84918820.6666667,39825808.1666667,68096393.0,202444341.5,67249494.0,70749246.1666667
9097315.83333333,13737872.1666667,10908963.0,11394833.6666667,19429797.5,14851466.3333333,18174261.5
,,1895874.0,1282044.5,0.0,1862646.0,
3827711.25,6357789.0,5630300.83333333,7614643.0,10102740.0,8314833.5,6044860.75
3738611031.33333,4161815115.5,4649752639.66667,3173711248.66667,4628445106.0,3884242138.83333,3336950257.83333
131429613.333333,156892747.0,119497072.333333,116824293.333333,143848456.666667,134690859.666667,119858390.5
26284384.3333333,27367205.4,22352043.8,18199234.1666667,25241875.5,21796764.5,18514097.0
2333626180.5,1320864651.33333,2512233547.5,1570013970.16667,1891394438.66667,1760677252.5,1443211547.83333
0.0,11520149.0,,0.0,0.0,0.0,
809138817.833333,993924292.5,943542834.0,740624652.833333,1156155731.5,970915497.333333,779777558.333333
1058234081.33333,1192300468.16667,1147431925.0,889714494.0,1393830501.5,1249712161.83333,861890320.5
141450182.166667,154773872.666667,294909730.0,117065205.166667,180684869.0,168315672.5,145086020.666667
30307147.6666667,44614709.6666667,51191504.6666667,37404981.1666667,48128316.3333333,49521134.1666667,
6227310.33333333,3863992.0,4717261.25,6600661.0,9155727.66666667,56290583.5,4950990.0
,28617973.2,2197855.0,2644220.25,,,44479925.5
16472401.6666667,18981309.2,30855714.6666667,18939876.25,21652893.5,20704878.8333333,22577329.6
8491729.5,101095134.2,15820656.8,7734758.5,12432046.2,14811466.5,7967129.0
102447995.833333,89769464.8333333,76431721.8333333,75258349.3333333,118653052.5,108121784.0,81491803.3333333
,,6323744.4,8137891.5,,18594844.0,3677434.0
290349334.166667,322627423.666667,287347030.833333,294237681.5,392558861.833333,328640006.0,326000754.5
8247515.0,0.0,9229175.4,15204690.0,8219686.0,14053057.75,6691244.0
,77332052.1666667,63638579.8333333,102699774.333333,41133134.6666667,86211219.5,76206737.6666667
3315889.0,,,0.0,,,
261213333.333333,206936666.666667,222821666.666667,124453333.333333,229670000.0,185225000.0,129320000.0
785629535.0,1135434244.33333,760290067.5,974435925.5,1361539033.16667,1096918404.5,1071022322.83333
25820967.5,52495607.0,41856987.0,78693939.1666667,33541985.5,34126750.3333333,73505918.3333333
177674427.166667,190726344.833333,142782368.0,127262253.666667,151605776.0,131933136.5,133066552.166667
275219925.166667,474839583.5,166790181.666667,443470635.166667,471645131.166667,428293027.5,450172904.5
20097268.3333333,22691962.8333333,16556319.8333333,17815357.2,27438956.0,22484049.5,17936527.1666667
22725457.6666667,26730487.3333333,42889078.5,24231691.3333333,38308923.6666667,33389398.0,28951359.0
,,10920998.0,0.0,,,13164841.0
28612948.3333333,31749260.0,37497783.1666667,25626827.6666667,38624047.3333333,35248252.3333333,55422666.0
37371863.0,54734355.0,51588425.8333333,48529109.3333333,76688655.3333333,65997621.0,47854036.0
419116347.5,477404350.333333,380414571.166667,425366834.833333,549657673.0,491696724.333333,454242607.666667
47398039.8333333,62596496.8333333,73187603.0,43257852.6,75203881.1666667,88605504.3333333,53040660.1666667
363055960.5,360248606.333333,589170012.0,213461735.5,485994076.166667,390798201.166667,240467784.166667
218854272.666667,310230816.333333,344186125.0,300296860.666667,364302656.833333,306527379.0,328244707.5
1982195081.33333,2501020541.83333,1813410099.33333,2113693364.33333,2815279894.16667,2336840876.33333,2168843477.5
2160278763.83333,2807251534.16667,2363283497.66667,2170889826.0,3122815249.0,2858880156.0,2281262063.83333
34170925.0,37199455.8333333,40906559.6666667,32339378.0,37060106.0,33798772.6666667,20264800.5
5127606.4,0.0,4105260.5,,,,
,0.0,11975277.5,,,,0.0
2766359.66666667,,2897039.0,,,799907.0,0.0
20241702.5,21670057.5,15877336.8,21508027.0,24208565.0,21738142.8,21787609.6666667
528942095.666667,603207977.833333,632646269.166667,548777365.833333,749917774.0,626722614.0,528450191.166667
13038732.0,19088148.8,19394743.3333333,14129194.6666667,18443194.6666667,17214386.2,14154344.75
30215870.5,24603793.0,30073330.0,26704976.1666667,41824596.3333333,40010167.6666667,26117123.3333333
926177260.333333,875379282.333334,873278249.5,671005831.833333,1038224422.66667,871118249.333333,720779522.0
38322001.8333333,65189417.8333333,28964917.6666667,73247741.1666667,48067414.6666667,40716233.5,73819206.1666667
38776945.3333333,32723561.8333333,36263551.0,21772470.5,52896884.3333333,38021378.8333333,27114258.2
